pcds,laua,lat,long
BS1 1AA,E06000023,51.449516,-2.57837
BS1 1AB,E06000023,51.449516,-2.57837
BS1 1AD,E06000023,51.458457,-2.574165
BS1 1AE,E06000023,51.449516,-2.57837
BS1 1AF,E06000023,51.449516,-2.57837
BS1 1AG,E06000023,51.449516,-2.57837
BS1 1AH,E06000023,51.449516,-2.57837
BS1 1AJ,E06000023,51.449516,-2.57837
BS1 1AL,E06000023,51.449516,-2.57837
BS1 1AN,E06000023,51.449516,-2.57837
BS1 1AP,E06000023,51.449516,-2.57837
BS1 1AQ,E06000023,51.449516,-2.57837
BS1 1AR,E06000023,51.449516,-2.57837
BS1 1BA,E06000023,51.451775,-2.594301
BS1 1BB,E06000023,51.449516,-2.57837
BS1 1BD,E06000023,51.449516,-2.57837
BS1 1BE,E06000023,51.449516,-2.57837
BS1 1BF,E06000023,51.449516,-2.57837
BS1 1BG,E06000023,51.449516,-2.57837
BS1 1BH,E06000023,51.449516,-2.57837
BS1 1BJ,E06000023,51.449516,-2.57837
BS1 1BL,E06000023,51.449516,-2.57837
BS1 1BN,E06000023,51.449516,-2.57837
BS1 1BP,E06000023,51.449516,-2.57837
BS1 1BT,E06000023,51.453546,-2.595635
BS1 1BU,E06000023,51.453654,-2.593938
BS1 1BX,E06000023,51.449516,-2.57837
BS1 1BZ,E06000023,51.454472,-2.594336
BS1 1DA,E06000023,51.454791,-2.595004
BS1 1DB,E06000023,51.455176,-2.595467
BS1 1DD,E06000023,51.459757,-2.574944
BS1 1DE,E06000023,51.455277,-2.595167
BS1 1DF,E06000023,51.454465,-2.595775
BS1 1DH,E06000023,51.454465,-2.595775
BS1 1DJ,E06000023,51.454465,-2.595775
BS1 1DL,E06000023,51.453646,-2.594138
BS1 1DN,E06000023,51.454465,-2.595775
BS1 1DP,E06000023,51.454904,-2.594327
BS1 1DQ,E06000023,51.452418,-2.593215
BS1 1DR,E06000023,51.455437,-2.593458
BS1 1DS,E06000023,51.454472,-2.594336
BS1 1DT,E06000023,51.454472,-2.594336
BS1 1DU,E06000023,51.454472,-2.594336
BS1 1DW,E06000023,51.454848,-2.594342
BS1 1DX,E06000023,51.455139,-2.593985
BS1 1DY,E06000023,51.455419,-2.595571
BS1 1DZ,E06000023,51.455428,-2.595557
BS1 1EA,E06000023,51.454601,-2.595431
BS1 1EB,E06000023,51.455039,-2.595755
BS1 1ED,E06000023,51.452674,-2.594312
BS1 1EE,E06000023,51.45478,-2.595721
BS1 1EF,E06000023,51.454457,-2.597214
BS1 1EG,E06000023,51.454457,-2.597214
BS1 1EH,E06000023,51.453543,-2.594928
BS1 1EJ,E06000023,51.454457,-2.597214
BS1 1EL,E06000023,51.454419,-2.595803
BS1 1EN,E06000023,51.454553,-2.596049
BS1 1EP,E06000023,51.454457,-2.597214
BS1 1EQ,E06000023,51.454473,-2.595575
BS1 1EW,E06000023,51.453565,-2.595763
BS1 1GB,E06000023,51.453327,-2.593184
BS1 1HA,E06000023,51.452674,-2.594312
BS1 1HG,E06000023,51.452674,-2.594312
BS1 1HH,E06000023,51.452674,-2.594312
BS1 1HJ,E06000023,51.454616,-2.594381
BS1 1HL,E06000023,51.453573,-2.594324
BS1 1HN,E06000023,51.452674,-2.594312
BS1 1HP,E06000023,51.452674,-2.594312
BS1 1HQ,E06000023,51.454321,-2.593988
BS1 1HR,E06000023,51.453565,-2.595763
BS1 1HS,E06000023,51.454425,-2.594695
BS1 1HT,E06000023,51.454423,-2.594697
BS1 1HU,E06000023,51.452674,-2.594312
BS1 1HW,E06000023,51.453962,-2.593797
BS1 1HX,E06000023,51.452674,-2.594312
BS1 1HZ,E06000023,51.453565,-2.595763
BS1 1JD,E06000023,51.453573,-2.594324
BS1 1JG,E06000023,51.454829,-2.593074
BS1 1JH,E06000023,51.454514,-2.593142
BS1 1JL,E06000023,51.45381,-2.595335
BS1 1JN,E06000023,51.454541,-2.593056
BS1 1JP,E06000023,51.454188,-2.593497
BS1 1JQ,E06000023,51.454404,-2.593529
BS1 1JR,E06000023,51.453739,-2.595247
BS1 1JS,E06000023,51.45355,-2.595331
BS1 1JW,E06000023,51.453982,-2.593466
BS1 1JX,E06000023,51.453695,-2.594701
BS1 1JY,E06000023,51.454088,-2.595525
BS1 1LA,E06000023,51.454269,-2.593183
BS1 1LD,E06000023,51.453565,-2.595763
BS1 1LE,E06000023,51.453565,-2.595763
BS1 1LG,E06000023,51.452674,-2.594312
BS1 1LH,E06000023,51.453738,-2.593679
BS1 1LJ,E06000023,51.454197,-2.593182
BS1 1LS,E06000023,51.453573,-2.594324
BS1 1LT,E06000023,51.453541,-2.59493
BS1 1LU,E06000023,51.452666,-2.595751
BS1 1LX,E06000023,51.452666,-2.595751
BS1 1LY,E06000023,51.453573,-2.594324
